사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201604,2호선,서초,3,0,1707,4871,7788,22713,16702,60165,25668,130943,29730,91320,22994,46623,32883,40279,30191,32604,40125,33984,39987,35278,44048,28720,50615,29560,61000,28496,109502,34803,56860,28502,35514,15337,43152,13388,37062,13966,10217,7995,1345,2330,0,33,0,0,0,0,20160508
201604,2호선,방배,47,1,3804,3116,12814,11804,35731,33425,47313,91588,36845,68916,27303,43126,27987,33159,30882,34353,34256,35226,34545,35578,39593,34084,45330,36598,50283,41715,84022,48859,52256,42052,39155,28186,40782,25704,34023,28198,14731,17064,2479,5061,2,42,0,0,0,0,20160508
201604,2호선,사당,52,4,12939,3955,27697,36982,82617,74693,113618,96065,80623,75286,55725,55322,53578,59646,58001,62516,67588,64750,69276,63160,69115,70096,72991,83890,83008,116858,111860,175997,91751,155410,83101,94724,93161,88492,93483,91047,53156,59197,9426,18851,34,1010,0,0,0,0,20160508
201604,2호선,낙성대,99,18,13160,2554,32493,15061,105107,28041,141971,59436,86803,46329,48113,39033,42891,28695,46399,34338,48254,36335,41862,37482,43164,41638,47960,46551,55381,58117,64986,90530,45179,100408,33338,69704,33992,68846,27115,73696,15059,48751,2258,14750,2,385,0,0,0,0,20160508
201604,2호선,서울대입구,4809,26,32718,3173,54003,19579,154307,40639,199387,87048,125353,85915,78566,75388,73619,59924,78010,65056,86933,70669,77317,70448,79882,76993,86877,85080,99049,105865,111445,156866,79144,165071,63970,110893,63080,105743,60456,117909,34077,74497,5196,27334,6,4773,0,0,0,0,20160508
201604,2호선,봉천,58,1,17653,1737,33954,7840,92077,17346,114623,30874,70383,28012,40906,24337,34684,24106,36663,25246,37568,29282,32176,30235,31434,37367,33777,43273,35232,53589,39541,75772,26965,74448,22585,50195,19412,48152,15315,50140,6373,29959,937,8882,2,300,0,0,0,0,20160508
201604,2호선,신림,238,14,50097,5520,97101,26455,275653,47112,361272,77461,211749,66495,120731,59505,104249,63904,107182,71627,109147,82597,95992,87396,91390,103489,95919,125721,106866,162036,116915,249924,91710,280024,72971,188156,72512,179159,68528,190447,38657,126235,6210,40724,12,638,0,0,0,0,20160508
201604,2호선,신대방,104,3,27653,2354,40861,11777,108222,21205,139777,40551,89558,27835,50901,23753,42655,24176,42133,26037,41527,31456,36270,33305,34184,41810,37074,51153,39483,63145,49586,87806,33610,90510,24737,64607,19983,67431,15012,77181,7376,44319,1174,12785,3,269,0,0,0,0,20160508
201604,2호선,구로디지털단지,204,5,44920,6560,64519,23451,169658,80285,207365,287283,134244,163045,84311,68367,75056,57501,78051,57696,82579,71416,73902,77917,73677,81371,83857,89762,108249,117014,228100,166586,157244,169806,95626,114276,84155,112340,69927,123452,34331,75203,5397,21109,10,514,0,0,0,0,20160508
201604,2호선,대림,398,14,40767,4834,41340,14990,93571,28759,124564,74451,89623,49232,52577,40097,46658,41988,50308,42732,49470,44601,43582,44245,43190,51577,46601,59414,54202,81208,72899,97287,47114,89061,34984,62625,29649,70184,22859,82198,11492,42416,1726,12191,2,457,0,0,0,0,20160508
