,사용월,호선명,지하철역,작업일자,time,승하차구분 ,population
202,201601,경의선,홍대입구,20160208,08시-09시,하차,5024
203,201601,경의선,홍대입구,20160208,09시-10시,승차,822
204,201601,경의선,홍대입구,20160208,09시-10시,하차,3407
205,201601,경의선,홍대입구,20160208,10시-11시,승차,842
206,201601,경의선,홍대입구,20160208,10시-11시,하차,2667
207,201601,경의선,홍대입구,20160208,11시-12시,승차,879
208,201601,경의선,홍대입구,20160208,11시-12시,하차,3234
209,201601,경의선,홍대입구,20160208,12시-13시,승차,1099
210,201601,경의선,홍대입구,20160208,12시-13시,하차,4809
211,201601,경의선,홍대입구,20160208,13시-14시,승차,1388
212,201601,경의선,홍대입구,20160208,13시-14시,하차,4771
213,201601,경의선,홍대입구,20160208,14시-15시,승차,1484
214,201601,경의선,홍대입구,20160208,14시-15시,하차,4382
215,201601,경의선,홍대입구,20160208,15시-16시,승차,1697
216,201601,경의선,홍대입구,20160208,15시-16시,하차,4427
217,201601,경의선,홍대입구,20160208,16시-17시,승차,2276
218,201601,경의선,홍대입구,20160208,16시-17시,하차,4992
219,201601,경의선,홍대입구,20160208,17시-18시,승차,3008
220,201601,경의선,홍대입구,20160208,17시-18시,하차,4886
221,201601,경의선,홍대입구,20160208,18시-19시,승차,4066
222,201601,경의선,홍대입구,20160208,18시-19시,하차,6235
223,201601,경의선,홍대입구,20160208,19시-20시,승차,3216
224,201601,경의선,홍대입구,20160208,19시-20시,하차,4675
225,201601,경의선,홍대입구,20160208,20시-21시,승차,3151
226,201601,경의선,홍대입구,20160208,20시-21시,하차,2927
227,201601,경의선,홍대입구,20160208,21시-22시,승차,4062
228,201601,경의선,홍대입구,20160208,21시-22시,하차,2431
229,201601,경의선,홍대입구,20160208,22시-23시,승차,5622
230,201601,경의선,홍대입구,20160208,22시-23시,하차,1987
231,201601,경의선,홍대입구,20160208,23시-24시,승차,2546
232,201601,경의선,홍대입구,20160208,23시-24시,하차,1475
233,201601,경의선,홍대입구,20160208,00시-01시,승차,133
234,201601,경의선,홍대입구,20160208,00시-01시,하차,368
235,201601,경의선,홍대입구,20160208,01시-02시,승차,0
236,201601,경의선,홍대입구,20160208,01시-02시,하차,0
237,201601,경의선,홍대입구,20160208,02시-03시,승차,0
238,201601,경의선,홍대입구,20160208,02시-03시,하차,0
239,201601,경의선,홍대입구,20160208,03시-04시,승차,0
240,201601,경의선,홍대입구,20160208,03시-04시,하차,0
241,201601,경의선,가좌,20160208,04시-05시,승차,0
242,201601,경의선,가좌,20160208,04시-05시,하차,0
243,201601,경의선,가좌,20160208,05시-06시,승차,1656
244,201601,경의선,가좌,20160208,05시-06시,하차,159
245,201601,경의선,가좌,20160208,06시-07시,승차,5483
246,201601,경의선,가좌,20160208,06시-07시,하차,2485
247,201601,경의선,가좌,20160208,07시-08시,승차,12508
248,201601,경의선,가좌,20160208,07시-08시,하차,2980
249,201601,경의선,가좌,20160208,08시-09시,승차,15370
250,201601,경의선,가좌,20160208,08시-09시,하차,5964
251,201601,경의선,가좌,20160208,09시-10시,승차,8045
252,201601,경의선,가좌,20160208,09시-10시,하차,5426
253,201601,경의선,가좌,20160208,10시-11시,승차,6463
254,201601,경의선,가좌,20160208,10시-11시,하차,4277
255,201601,경의선,가좌,20160208,11시-12시,승차,6103
256,201601,경의선,가좌,20160208,11시-12시,하차,4574
257,201601,경의선,가좌,20160208,12시-13시,승차,6673
258,201601,경의선,가좌,20160208,12시-13시,하차,5478
259,201601,경의선,가좌,20160208,13시-14시,승차,6555
260,201601,경의선,가좌,20160208,13시-14시,하차,6255
261,201601,경의선,가좌,20160208,14시-15시,승차,5890
262,201601,경의선,가좌,20160208,14시-15시,하차,6457
263,201601,경의선,가좌,20160208,15시-16시,승차,5927
264,201601,경의선,가좌,20160208,15시-16시,하차,7329
265,201601,경의선,가좌,20160208,16시-17시,승차,7027
266,201601,경의선,가좌,20160208,16시-17시,하차,7442
