연간소득,직급1,자격증,성별1,혼인상태1,최종학력1
6400,주임/계장,아니오,남,기혼,인문고졸
7200,주임/계장,아니오,남,기혼,인문고졸
5500,생산직 반장급,아니오,남,미혼,공고졸
5400,생산직 반장급,아니오,남,기혼,인문고졸
6200,주임/계장,아니오,남,기혼,인문고졸
NA,부장급,아니오,남,기혼,4년제졸
4600,대리급,아니오,남,기혼,4년제졸
NA,과장급,아니오,남,기혼,석사졸
NA,사원급,아니오,여,미혼,전문대졸
4800,대리급,아니오,남,미혼,4년제졸
NA,부장급,아니오,남,기혼,4년제졸
5000,과장급,아니오,남,기혼,4년제졸
3500,사원급,예,여,미혼,기타 실업고졸
NA,대리급,아니오,여,미혼,4년제졸
6000,차장급,아니오,남,기혼,4년제졸
NA,대리급,아니오,남,미혼,4년제졸
NA,대리급,아니오,남,미혼,4년제졸
4500,대리급,아니오,남,기혼,4년제졸
6000,부장급,아니오,남,기혼,석사졸
5100,차장급,예,남,기혼,4년제졸
NA,부장급,아니오,남,기혼,4년제졸
3000,대리급,아니오,남,기혼,4년제졸
3300,주임/계장,아니오,남,기혼,전문대졸
NA,대리급,아니오,여,미혼,기타 실업고졸
3000,대리급,아니오,여,기혼,4년제졸
NA,과장급,아니오,남,기혼,공고졸
3500,주임/계장,아니오,남,미혼,전문대졸
3500,주임/계장,아니오,여,미혼,기타 실업고졸
3500,주임/계장,아니오,남,기혼,전문대졸
NA,부장급,아니오,남,기혼,공고졸
3500,주임/계장,아니오,남,기혼,전문대졸
3500,주임/계장,아니오,여,미혼,4년제졸
2700,생산직 반장급,아니오,여,NA,인문고졸
NA,사원급,아니오,남,기혼,4년제졸
2500,사원급,예,남,기혼,공고졸
2000,사원급,아니오,남,미혼,인문고졸
2800,사원급,아니오,남,미혼,인문고졸
NA,사원급,아니오,여,기혼,인문고졸
3500,주임/계장,아니오,남,미혼,공고졸
NA,주임/계장,아니오,남,미혼,4년제졸
NA,사원급,아니오,남,기혼,인문고졸
3400,주임/계장,아니오,남,미혼,공고졸
2700,대리급,아니오,남,미혼,공고졸
NA,사원급,아니오,남,미혼,전문대졸
NA,사원급,아니오,남,미혼,전문대졸
2800,사원급,아니오,남,기혼,기타 실업고졸
3000,생산직 반장급,예,남,이혼,중졸이하
3000,사원급,아니오,여,기혼,기타 실업고졸
NA,사원급,아니오,남,미혼,기타 실업고졸
2200,사원급,아니오,여,기혼,공고졸
3000,사원급,아니오,여,기혼,중졸이하
3000,사원급,아니오,남,기혼,공고졸
3800,사원급,아니오,남,미혼,인문고졸
5000,생산직 반장급,아니오,남,기혼,공고졸
6500,부장급,아니오,남,기혼,4년제졸
NA,차장급,아니오,남,기혼,4년제졸
9000,차장급,예,남,기혼,4년제졸
NA,과장급,예,여,미혼,석사졸
4500,주임/계장,예,여,미혼,4년제졸
NA,사원급,아니오,여,미혼,4년제졸
NA,과장급,예,남,기혼,4년제졸
NA,차장급,아니오,남,기혼,4년제졸
2700,사원급,아니오,여,미혼,전문대졸
NA,차장급,예,남,기혼,전문대졸
6500,대리급,예,남,기혼,4년제졸
6000,대리급,예,여,기혼,4년제졸
8000,과장급,예,남,기혼,4년제졸
9000,차장급,예,여,기혼,4년제졸
8000,과장급,예,남,기혼,4년제졸
8500,차장급,아니오,남,기혼,석사졸
6900,대리급,예,남,기혼,4년제졸
6800,대리급,아니오,남,기혼,4년제졸
3900,사원급,아니오,남,기혼,4년제졸
8000,과장급,아니오,남,기혼,석사졸
6000,대리급,아니오,남,미혼,4년제졸
6000,과장급,아니오,남,기혼,4년제졸
8000,과장급,아니오,남,기혼,석사졸
NA,차장급,아니오,남,기혼,4년제졸
NA,부장급,아니오,남,기혼,4년제졸
6000,주임/계장,아니오,남,기혼,4년제졸
10000,차장급,예,남,기혼,석사졸
NA,차장급,아니오,남,기혼,4년제졸
10000,차장급,예,남,기혼,4년제졸
6000,주임/계장,예,남,미혼,4년제졸
6000,대리급,예,남,미혼,4년제졸
NA,주임/계장,예,여,미혼,석사졸
NA,과장급,예,여,기혼,4년제졸
NA,주임/계장,아니오,여,기혼,전문대졸
4600,주임/계장,아니오,여,미혼,4년제졸
NA,사원급,아니오,여,미혼,4년제졸
NA,주임/계장,아니오,여,미혼,4년제졸
4000,대리급,아니오,남,기혼,전문대졸
3400,사원급,아니오,남,미혼,4년제졸
2700,사원급,아니오,여,미혼,전문대졸
5000,차장급,아니오,남,기혼,4년제졸
NA,과장급,아니오,남,기혼,4년제졸
2500,주임/계장,아니오,여,미혼,전문대졸
3000,생산직 반장급,아니오,남,기혼,전문대졸
NA,대리급,아니오,남,기혼,4년제졸
2600,사원급,아니오,여,미혼,전문대졸
5000,차장급,아니오,남,기혼,4년제졸
NA,사원급,예,남,미혼,4년제졸
3500,대리급,예,여,미혼,전문대졸
NA,과장급,아니오,남,기혼,4년제졸
3500,대리급,예,남,기혼,전문대졸
4100,과장급,아니오,남,기혼,4년제졸
4500,과장급,예,남,기혼,4년제졸
4000,과장급,예,남,기혼,4년제졸
4000,대리급,아니오,남,기혼,4년제졸
4000,과장급,예,남,기혼,4년제졸
NA,부장급,예,남,기혼,석사졸
3700,대리급,아니오,남,미혼,4년제졸
3800,주임/계장,아니오,남,미혼,4년제졸
3050,주임/계장,예,여,미혼,4년제졸
3500,대리급,아니오,남,미혼,석사졸
3300,대리급,아니오,여,미혼,석사졸
5000,차장급,아니오,남,기혼,4년제졸
3100,과장급,아니오,여,미혼,4년제졸
3000,사원급,예,남,기혼,전문대졸
2500,주임/계장,아니오,여,기혼,4년제졸
4100,주임/계장,아니오,남,기혼,석사졸
4000,대리급,아니오,남,기혼,전문대졸
4000,생산직 반장급,예,남,기혼,전문대졸
3000,사원급,아니오,남,미혼,공고졸
3100,사원급,아니오,남,미혼,전문대졸
NA,사원급,아니오,남,미혼,인문고졸
NA,사원급,아니오,남,미혼,인문고졸
2800,사원급,아니오,남,미혼,인문고졸
5595,차장급,아니오,남,기혼,4년제졸
4590,과장급,아니오,여,기혼,4년제졸
3976,사원급,아니오,남,미혼,4년제졸
4634,대리급,아니오,남,기혼,전문대졸
4805,대리급,아니오,남,기혼,4년제졸
5042,대리급,아니오,남,기혼,4년제졸
3196,사원급,아니오,여,미혼,4년제졸
5400,차장급,아니오,남,기혼,4년제졸
5300,차장급,아니오,남,미혼,4년제졸
4350,대리급,아니오,남,기혼,4년제졸
4700,과장급,아니오,남,기혼,4년제졸
3600,대리급,아니오,남,미혼,4년제졸
4400,대리급,아니오,여,기혼,4년제졸
4300,대리급,아니오,남,미혼,4년제졸
6000,과장급,아니오,남,미혼,4년제졸
4000,대리급,아니오,여,기혼,4년제졸
4500,과장급,예,여,기혼,4년제졸
NA,사원급,아니오,남,미혼,4년제졸
4550,과장급,아니오,남,기혼,석사졸
6000,과장급,아니오,남,미혼,4년제졸
5600,과장급,아니오,남,기혼,4년제졸
5800,과장급,아니오,남,기혼,4년제졸
6500,차장급,아니오,남,기혼,4년제졸
4800,과장급,아니오,남,미혼,4년제졸
6000,차장급,아니오,남,기혼,4년제졸
5400,생산직 반장급,아니오,남,기혼,4년제졸
4500,대리급,아니오,남,미혼,공고졸
4400,주임/계장,아니오,남,기혼,인문고졸
3500,사원급,아니오,남,미혼,공고졸
5100,대리급,아니오,남,기혼,기타 실업고졸
3800,주임/계장,아니오,남,기혼,기타 실업고졸
5000,과장급,아니오,남,기혼,인문고졸
3500,사원급,아니오,남,미혼,전문대졸
5400,대리급,아니오,남,기혼,공고졸
8000,생산직 반장급,아니오,남,기혼,4년제졸
NA,대리급,아니오,남,기혼,기타 실업고졸
3700,사원급,아니오,남,미혼,인문고졸
NA,주임/계장,아니오,남,미혼,전문대졸
3800,사원급,아니오,남,기혼,4년제졸
NA,주임/계장,아니오,남,기혼,기타 실업고졸
5000,주임/계장,아니오,남,기혼,인문고졸
7300,대리급,아니오,남,기혼,기타 실업고졸
7500,대리급,아니오,남,기혼,공고졸
